Condition,N_Scenario,written_scenario,ImageA1,ImageA2,ImageA3,ImageB1,ImageB2,ImageB3,ImageC1,ImageC2,ImageC3,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,text.started,text.stopped,fixationcross1_started,fixationcross1_stopped,Scenario_started,Scenario_stopped,fixationcross2_started,fixationcross2_stopped,A1pos,A2pos,A3pos,B1pos,B2pos,B3pos,C1pos,C2pos,C3pos,﻿Imagesdecision_started,decisiontimeA,decisiontimeB,decisiontimeC,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_time,mouse_started,mouse_stopped,clicked_optionA,clicked_optionB,clicked_optionC,colour_category_A,colour_category_B,colour_category_C,question_confidence_started,question_confidence_stopped,slider_confidence_response,slider_confidence_rt,slider_confidence_started,slider_confidence_stopped,question_valueA_started,question_valueA_stopped,slider_valueA_response,slider_valueA_rt,question_valueC_started,question_valueC_stopped,slider_valueC_response,slider_valueC_rt,question_valueB_started,question_valueB_stopped,slider_valueB_response,slider_valueB_rt,Importance_First,Importance_Second,Importance_Third,question_diff_started,question_diff_stopped,slider_diffC_response,slider_diffC_rt,slider_diffA_response,slider_diffA_rt,slider_diffB_response,slider_diffB_rt,diff_First,diff_Second,diff_Third,button_3_started,button_3_stopped,text_2_started,text_2_stopped,Imagesdecision_started,question_diffA_started,question_diffA_stopped,question_diffB_started,question_diffB_stopped,question_diffC_started,question_diffC_stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,2,Plan a party to celebrate your birthday,Stimuli/2A1t.jpg,Stimuli/2A2t.jpg,Stimuli/2A3t.jpg,Stimuli/2B1t.jpg,Stimuli/2B2t.jpg,Stimuli/2B3t.jpg,Stimuli/2C1t.jpg,Stimuli/2C2t.jpg,Stimuli/2C3t.jpg,0,0,0,0,,,,,35.77476879999813,None,1,[2.025529700000334],[2.0255336000009265],35.77476879999813,None,88.95395840000128,None,89.95758149999892,None,95.95734299999822,None,"[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",99.97543750000114,4.906599029967765,13.140671629967983,8.457331929970678,"[0.3851851851851852, -0.33611111111111114, -0.42592592592592593]","[-0.004629629629629629, 0.15185185185185185, -0.062037037037037036]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.894404400001804, 8.444597699999576, 13.128185400000802]",0.011705229968356434,13.139370129967574,['A1'],['B2'],['C2'],['salmon'],['yellow'],['blue'],113.57321519999823,None,10.0,4.495892200000526,113.57321519999823,None,119.40934619999825,None,10.0,16.030121899999358,134.20763699999952,None,7.0,7.381159500000649,143.12255350000123,None,6.0,12.247861400002876,<function functionImportanceAt at 0x000002AE087B3268>,<function functionImportanceCt at 0x000002AE15ED1A60>,<function functionImportanceBt at 0x000002AE068F1E18>,171.15487099999882,None,0.0,8.597155200000998,6.0,16.030121899999358,4.0,8.614355200003047,<function functiondiffCt at 0x000002AE16C45950>,<function functiondiffAt at 0x000002AE16C45C80>,<function functiondiffBt at 0x000002AE16C451E0>,,,,,,,,,,,,19,001,2022_Jul_19_1344,2leo,2021.2.3,60.02400960367167,
3,3,Plan one week of vacation,Stimuli/3A1t.jpg,Stimuli/3A2t.jpg,Stimuli/3A3t.jpg,Stimuli/3B1t.jpg,Stimuli/3B2t.jpg,Stimuli/3B3t.jpg,Stimuli/3C1t.jpg,Stimuli/3C2t.jpg,Stimuli/3C3t.jpg,0,1,1,1,,,,,,,,,,,,178.85481119999895,None,179.85453280000002,None,185.85473730000012,None,"[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",191.9816127999984,15.413743209941458,6.997413609944488,12.497334409941686,"[-0.34814814814814815, -0.20185185185185187, 0.262037037037037]","[-0.12407407407407407, 0.3398148148148148, 0.2518518518518518]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.989965299999312, 12.489625599999272, 15.406480499997997]",0.006750509943231009,15.413023509943741,['A2'],['B1'],['C1'],['blue'],['yellow'],['salmon'],207.8536767000005,None,8.0,8.16400970000177,207.8536767000005,None,229.07258680000086,None,10.0,9.948236099997303,238.56981670000096,None,6.0,11.898405600000842,217.78704669999934,None,10.0,11.064558199999738,<function functionImportanceBt at 0x000002AE15ED1268>,<function functionImportanceAt at 0x000002AE15ED1E18>,<function functionImportanceCt at 0x000002AE040031E0>,259.58570229999896,None,7.0,5.131146499999886,0.0,9.948236099997303,3.0,4.914406100000633,<function functiondiffAt at 0x000002AE16C45510>,<function functiondiffCt at 0x000002AE16C45730>,<function functiondiffBt at 0x000002AE16C459D8>,,,,,,,,,,,,19,001,2022_Jul_19_1344,2leo,2021.2.3,60.02400960367167,
3,31,Plan your order at a restaurant    ,Stimuli/31A1.jpg,Stimuli/31A2.jpg,Stimuli/31A3.jpg,Stimuli/31B1.jpg,Stimuli/31B2.jpg,Stimuli/31B3.jpg,Stimuli/31C1.jpg,Stimuli/31C2.jpg,Stimuli/31C3.jpg,,,,,0,0,0,31,,,,,,,,319.33293910000066,None,320.31754739999815,None,326.3174265000016,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,20.66093879998516,14.810864499984746,25.543976899985864,"[0.0962962962962963, 0.37222222222222223, -0.3712962962962963]","[0.32685185185185184, 0.021296296296296296, 0.1814814814814815]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[14.804631300001347, 20.65501089999816, 25.537702300000092]",0.005309199983457802,25.542985799984308,['A3'],['B3'],['C1'],['yellow'],['salmon'],['blue'],354.9997122999994,None,10.0,7.59603000000061,354.9997122999994,None,379.43255520000093,None,10.0,4.164956099997653,373.7825582000005,None,8.0,4.2314827000009245,362.71629530000064,None,4.0,11.013915999999881,<function functionImportanceB at 0x000002AE16C45F28>,<function functionImportanceC at 0x000002AE178D2158>,<function functionImportanceA at 0x000002AE15ED16A8>,,,1.0,4.164956099997653,2.0,7.880576100000326,7.0,8.264207500000339,<function functiondiffA at 0x000002AE16C450D0>,<function functiondiffB at 0x000002AE16C45620>,<function functiondiffC at 0x000002AE16C45400>,263.6190166999986,None,263.6190166999986,None,328.99465229999987,382.4488283999999,None,389.9988076000009,None,398.28175439999904,None,19,001,2022_Jul_19_1344,2leo,2021.2.3,60.02400960367167,
3,37,Plan your cleaning routine ,Stimuli/37A1.jpg,Stimuli/37A2.jpg,Stimuli/37A3.jpg,Stimuli/37B1.jpg,Stimuli/37B2.jpg,Stimuli/37B3.jpg,Stimuli/37C1.jpg,Stimuli/37C2.jpg,Stimuli/37C3.jpg,,,,,0,1,1,37,,,,,,,,404.03173679999963,None,405.03175360000023,None,411.0315883000003,None,"[-0.378, -0.136]","[0.07, 0.393]","[0.304, -0.26]","[-0.377, 0.138]","[0.306, 0.255]","[0.066, -0.395]","[-0.2, 0.346]","[0.399, -0.003]","[-0.203, -0.347]",,21.051941809997516,11.952623109998967,36.70172710999759,"[0.2935185185185185, -0.4101851851851852, -0.1648148148148148]","[0.2972222222222222, -0.10925925925925926, 0.37592592592592594]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[11.950764899997012, 21.050434699998732, 36.69967259999976]",0.0010829099992406555,36.70061610999619,['A1'],['B2'],['C1'],['yellow'],['blue'],['salmon'],449.3304332000007,None,6.0,3.9305552000005264,449.3304332000007,None,453.36375169999883,None,10.0,14.730767900000501,468.0800052000013,None,2.0,5.198037300000578,473.2799739000002,None,10.0,4.1317028000012215,<function functionImportanceA at 0x000002AE0B550E18>,<function functionImportanceC at 0x000002AE178D2D90>,<function functionImportanceB at 0x000002AE16C45A60>,,,8.0,14.730767900000501,2.0,7.081392399999459,-0.0,3.947538300002634,<function functiondiffB at 0x000002AE178D2B70>,<function functiondiffC at 0x000002AE178D2A60>,<function functiondiffA at 0x000002AE178D26A8>,,,,,412.1466885000009,483.92958870000075,None,477.41307270000107,None,481.37978609999846,None,19,001,2022_Jul_19_1344,2leo,2021.2.3,60.02400960367167,
3,36,Plan your shopping for new clothing,Stimuli/36A1.jpg,Stimuli/36A2.jpg,Stimuli/36A3.jpg,Stimuli/36B1.jpg,Stimuli/36B2.jpg,Stimuli/36B3.jpg,Stimuli/36C1.jpg,Stimuli/36C2.jpg,Stimuli/36C3.jpg,,,,,0,2,2,36,,,,,,,,490.5294074000012,None,491.52946000000156,None,497.5292394999997,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]",,22.906436669996765,41.189667569997255,30.0068870699979,"[-0.1685185185185185, 0.006481481481481481, 0.275]","[0.32407407407407407, -0.36666666666666664, -0.262037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[22.894347199999174, 29.994175600000744, 41.17720420000114]",0.011682469998049783,41.188776169998164,['A1'],['B2'],['C2'],['blue'],['yellow'],['salmon'],540.3279444,None,7.0,5.3469526000008045,540.3279444,None,560.4440380000015,None,7.0,5.731518800002959,545.7446157000013,None,10.0,9.214250799999718,554.9605167000009,None,9.0,5.448201900002459,<function functionImportanceC at 0x000002AE178D2D08>,<function functionImportanceB at 0x000002AE178D2950>,<function functionImportanceA at 0x000002AE16C45EA0>,,,1.0,5.731518800002959,5.0,6.130995200001053,9.0,3.381500600000436,<function functiondiffA at 0x000002AE178D2AE8>,<function functiondiffC at 0x000002AE178D2C80>,<function functiondiffB at 0x000002AE178D2E18>,,,,,498.66550030000144,566.1605835000009,None,574.9102821000015,None,572.2939019000005,None,19,001,2022_Jul_19_1344,2leo,2021.2.3,60.02400960367167,
3,25,Plan how you want to read a book in your free time ,Stimuli/25A1.jpg,Stimuli/25A2.jpg,Stimuli/25A3.jpg,Stimuli/25B1.jpg,Stimuli/25B2.jpg,Stimuli/25B3.jpg,Stimuli/25C1.jpg,Stimuli/25C2.jpg,Stimuli/25C3.jpg,,,,,0,3,3,25,,,,,,,,577.8101013999985,None,578.8102728000013,None,584.8102149000006,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]",,19.5040180099968,15.754588409996359,5.521773709995614,"[0.4546296296296296, 0.30648148148148147, -0.34814814814814815]","[0.000925925925925926, -0.2611111111111111, 0.16574074074074074]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.518507199998567, 15.751685999999609, 19.501479200000176]",0.0021243099945422728,19.503578209994885,['A1'],['B2'],['C3'],['salmon'],['yellow'],['blue'],606.2426269999996,None,10.0,4.997371900000871,606.2426269999996,None,611.3094220999992,None,10.0,5.731075499999861,617.3589681999983,None,10.0,7.947920400001749,625.0588585000005,None,6.0,7.148460200001864,<function functionImportanceA at 0x000002AE178D28C8>,<function functionImportanceC at 0x000002AE178D2840>,<function functionImportanceB at 0x000002AE178D2488>,,,-0.0,5.731075499999861,-0.0,2.6643986999988556,6.0,9.464784600000712,<function functiondiffA at 0x000002AE13C029D8>,<function functiondiffC at 0x000002AE16C458C8>,<function functiondiffB at 0x000002AE178D2620>,,,,,586.2696378,632.1420288000008,None,637.7587042999985,None,634.9255143999981,None,19,001,2022_Jul_19_1344,2leo,2021.2.3,60.02400960367167,
3,33,Plan the items to decorate your Christmas tree,Stimuli/33A1.jpg,Stimuli/33A2.jpg,Stimuli/33A3.jpg,Stimuli/33B1.jpg,Stimuli/33B2.jpg,Stimuli/33B3.jpg,Stimuli/33C1.jpg,Stimuli/33C2.jpg,Stimuli/33C3.jpg,,,,,0,4,4,33,,,,,,,,646.7248376999996,None,647.7249693000012,None,653.7249373000013,None,"[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",,30.195667799991497,58.49547819999134,48.7462676999894,"[-0.3101851851851852, 0.06574074074074074, -0.1925925925925926]","[0.12962962962962962, 0.35833333333333334, -0.32407407407407407]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[30.188699800000904, 48.73862110000118, 58.488023599998996]",0.006546299991896376,58.4945562999892,['A1'],['B2'],['C3'],['salmon'],['yellow'],['blue'],714.3563558999995,None,2.0,3.829929199997423,714.3563558999995,None,731.7726855000001,None,8.0,4.314784400001372,718.2894338000006,None,6.0,8.897759499999665,727.1562234999983,None,3.0,4.065631699999358,<function functionImportanceC at 0x000002AE178D2048>,<function functionImportanceB at 0x000002AE178D2EA0>,<function functionImportanceA at 0x000002AE1326EF28>,,,6.0,4.314784400001372,7.0,6.747738199999731,3.0,3.031425899996975,<function functiondiffA at 0x000002AE178D2510>,<function functiondiffB at 0x000002AE15D90EA0>,<function functiondiffC at 0x000002AE138AE840>,,,,,655.3995099999993,735.6892337999998,None,742.3223029000001,None,745.3723528999981,None,19,001,2022_Jul_19_1344,2leo,2021.2.3,60.02400960367167,
3,17,Plan a day in Barcelona with a friend who is new to the city,Stimuli/17A1.jpg,Stimuli/17A2.jpg,Stimuli/17A3.jpg,Stimuli/17B1.jpg,Stimuli/17B2.jpg,Stimuli/17B3.jpg,Stimuli/17C1.jpg,Stimuli/17C2.jpg,Stimuli/17C3.jpg,,,,,0,5,5,17,,,,,,,,754.238489899999,None,755.2386121999989,None,761.2385686000016,None,"[-0.2, 0.346]","[-0.203, -0.347]","[0.399, -0.003]","[-0.377, 0.138]","[0.066, -0.395]","[0.306, 0.255]","[-0.378, -0.136]","[0.304, -0.26]","[0.07, 0.393]",,12.7578362299937,3.8914367299948935,29.32464522999362,"[0.016666666666666666, 0.40555555555555556, 0.11481481481481481]","[-0.37777777777777777, 0.008333333333333333, 0.3851851851851852]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.886668200000713, 12.753269300003012, 29.319572600001266]",0.003974629995354917,29.323242329992354,['A3'],['B2'],['C3'],['yellow'],['salmon'],['blue'],792.2207559000017,None,10.0,5.9970579000000726,792.2207559000017,None,798.3207237999995,None,10.0,8.680591299998923,810.9203237000002,None,7.0,4.332022100003087,806.9872834999987,None,10.0,3.915171900000132,<function functionImportanceA at 0x000002AE178D27B8>,<function functionImportanceB at 0x000002AE178D2F28>,<function functionImportanceC at 0x000002AE138AE730>,,,9.0,8.680591299998923,3.0,3.6647563999977137,-0.0,3.0491846000004443,<function functiondiffB at 0x000002AE178D2730>,<function functiondiffA at 0x000002AE178D2598>,<function functiondiffC at 0x000002AE138AE2F0>,,,,,762.4171300999988,818.3037119,None,815.2371303,None,821.9702388000005,None,19,001,2022_Jul_19_1344,2leo,2021.2.3,60.02400960367167,
3,19,Plan how you want your garden to look like,Stimuli/19A1.jpg,Stimuli/19A2.jpg,Stimuli/19A3.jpg,Stimuli/19B1.jpg,Stimuli/19B2.jpg,Stimuli/19B3.jpg,Stimuli/19C1.jpg,Stimuli/19C2.jpg,Stimuli/19C3.jpg,,,,,0,6,6,19,,,,,,,,824.3199315999991,None,825.3200083999982,None,831.3199029999996,None,"[-0.203, -0.347]","[0.399, -0.003]","[-0.2, 0.346]","[0.304, -0.26]","[0.07, 0.393]","[-0.378, -0.136]","[0.066, -0.395]","[0.306, 0.255]","[-0.377, 0.138]",,13.908257509974646,23.124426609974762,6.891756809971412,"[0.000925925925925926, -0.22592592592592592, 0.12129629629629629]","[-0.3435185185185185, -0.32222222222222224, 0.41759259259259257]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[6.886880300000485, 13.903828200000135, 23.119767500000307]",0.003878009974869201,23.123427009973966,['A1'],['B2'],['C1'],['blue'],['salmon'],['yellow'],858.5356823000002,None,8.0,3.430045199998858,858.5356823000002,None,862.0521307999988,None,8.0,18.447238100001414,881.8685737999986,None,9.0,4.831538999998884,886.451599699998,None,6.0,4.781849799997872,<function functionImportanceA at 0x000002AE138AE510>,<function functionImportanceC at 0x000002AE138AE598>,<function functionImportanceB at 0x000002AE138AE9D8>,,,-0.0,18.447238100001414,1.0,3.09805150000102,6.0,5.314365999998699,<function functiondiffA at 0x000002AE138AE048>,<function functiondiffC at 0x000002AE138AE158>,<function functiondiffB at 0x000002AE138AE0D0>,,,,,834.9501487000016,890.1349489999993,None,896.3513276000012,None,893.6182746000013,None,19,001,2022_Jul_19_1344,2leo,2021.2.3,60.02400960367167,
3,42,Plan how to draw a painting ,Stimuli/42A1.jpg,Stimuli/42A2.jpg,Stimuli/42A3.jpg,Stimuli/42B1.jpg,Stimuli/42B2.jpg,Stimuli/42B3.jpg,Stimuli/42C1.jpg,Stimuli/42C2.jpg,Stimuli/42C3.jpg,,,,,0,7,7,42,,,,,,,,900.9510850000006,None,901.9513344000006,None,907.9511115999994,None,"[0.07, 0.393]","[-0.378, -0.136]","[0.304, -0.26]","[0.399, -0.003]","[-0.2, 0.346]","[-0.203, -0.347]","[0.306, 0.255]","[-0.377, 0.138]","[0.066, -0.395]",,17.600920939996286,25.74868833999426,19.765846939993935,"[-0.35833333333333334, 0.33240740740740743, -0.1527777777777778]","[-0.12129629629629629, 0.26851851851851855, -0.337037037037037]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[17.59190729999682, 19.75721649999832, 25.740153199996712]",0.0077050399959261995,25.747750739996263,['A2'],['B3'],['C1'],['yellow'],['blue'],['salmon'],935.4667855000007,None,10.0,1.7637844999990193,935.4667855000007,None,950.4497709999996,None,10.0,2.848583700000745,937.3334848999984,None,10.0,6.897741500000848,944.2333894000003,None,6.0,6.065318200002366,<function functionImportanceC at 0x000002AE138AEC80>,<function functionImportanceB at 0x000002AE178D2268>,<function functionImportanceA at 0x000002AE178D29D8>,,,-0.0,2.848583700000745,-0.0,2.3147222000006877,3.0,3.4980174000011175,<function functiondiffC at 0x000002AE138AE950>,<function functiondiffB at 0x000002AE16C45378>,<function functiondiffA at 0x000002AE16C45488>,,,,,909.2432335999983,959.5665044999987,None,955.9997970000004,None,953.1332365999988,None,19,001,2022_Jul_19_1344,2leo,2021.2.3,60.02400960367167,
